category,condition,brand,price
books,excellent,Nilkhet,1450
gaming,excellent,Sony,24700
accessories,excellent,Baseus,5000
phone,good,Apple,18150
laptop,good,Acer,85550
camera,good,Fujifilm,17050
furniture,good,Regal,2900
bicycle,good,Hero,17750
appliance,good,Whirlpool,3750
fashion,good,Sailor,6750
books,good,Nilkhet,250
gaming,good,Logitech,25700
accessories,good,Anker,9750
phone,fair,Google,30100
laptop,fair,Acer,66150
camera,fair,Fujifilm,53100
furniture,fair,Hatil,14950
bicycle,fair,Giant,19300
appliance,fair,Walton,21400
fashion,fair,Generic,7400
books,fair,Nilkhet,1150
gaming,fair,Sony,24750
accessories,fair,Apple,5050
phone,poor,Xiaomi,26450
laptop,poor,Lenovo,32700
camera,poor,Sony,16600
furniture,poor,IKEA,6700
bicycle,poor,Hero,11200
appliance,poor,Whirlpool,8450
fashion,poor,Yellow,2100
books,poor,Nilkhet,800
gaming,poor,Nintendo,4500
accessories,poor,Anker,5750
phone,new,Xiaomi,102900
laptop,new,Lenovo,74450
camera,new,Panasonic,19000
furniture,new,IKEA,23500
bicycle,new,Giant,68550
appliance,new,Whirlpool,56700
fashion,new,Generic,5700
books,new,Cambridge,5700
gaming,new,Nintendo,65500
accessories,new,Baseus,3350
phone,excellent,Realme,62100
laptop,excellent,Acer,101500
camera,excellent,Canon,41150
furniture,excellent,Regal,31550
bicycle,excellent,Hero,12650
appliance,excellent,Whirlpool,59600
fashion,excellent,Yellow,7400
books,excellent,Cambridge,1000
gaming,excellent,Sony,23450
accessories,excellent,Anker,15300
phone,good,OnePlus,68950
laptop,good,Asus,37700
camera,good,Sony,45850
furniture,good,Hatil,12350
bicycle,good,Duranta,21700
appliance,good,LG,30050
fashion,good,Generic,7300
books,good,OReilly,2650
gaming,good,Razer,26900
accessories,good,Generic,2900
phone,fair,OnePlus,37000
laptop,fair,Asus,20950
camera,fair,Fujifilm,32500
furniture,fair,Local,3500
bicycle,fair,Giant,16850
appliance,fair,Samsung,7500
fashion,fair,Ecstasy,5900
books,fair,Pearson,600
gaming,fair,Nintendo,28350
accessories,fair,Generic,6350
phone,poor,Apple,14750
laptop,poor,Acer,35700
camera,poor,Nikon,14500
furniture,poor,Hatil,3700
bicycle,poor,Duranta,1500
appliance,poor,Singer,10450
fashion,poor,Ecstasy,1450
books,poor,Pearson,300
gaming,poor,Nintendo,10700
accessories,poor,Apple,1350
phone,new,Samsung,74500
laptop,new,Asus,89600
camera,new,Nikon,50200
furniture,new,Local,16950
bicycle,new,Phoenix,24650
appliance,new,Walton,36100
fashion,new,Aarong,9950
books,new,Pearson,5450
gaming,new,Razer,74900
accessories,new,Anker,4500
phone,excellent,Realme,64750
laptop,excellent,Dell,123950
camera,excellent,Fujifilm,18550
furniture,excellent,Local,24450
bicycle,excellent,Giant,28850
appliance,excellent,Singer,29400
fashion,excellent,Ecstasy,12200
books,excellent,Cambridge,4350
gaming,excellent,Microsoft,56100
accessories,excellent,Generic,3850
phone,good,Apple,53450
laptop,good,Lenovo,65650
camera,good,Canon,49400
furniture,good,IKEA,32900
bicycle,good,Duranta,6400
appliance,good,Whirlpool,20100
fashion,good,Sailor,3200
books,good,OReilly,3950
gaming,good,Microsoft,3000
accessories,good,Baseus,7700
phone,fair,Realme,36300
laptop,fair,Dell,49100
camera,fair,Fujifilm,11550
furniture,fair,Otobi,20250
bicycle,fair,Giant,20550
appliance,fair,Samsung,16650
fashion,fair,Sailor,4450
books,fair,Pearson,2250
gaming,fair,Nintendo,17700
accessories,fair,Apple,5400
phone,poor,Samsung,14600
laptop,poor,Lenovo,31150
camera,poor,Panasonic,19500
furniture,poor,Otobi,3500
bicycle,poor,Trek,6400
appliance,poor,Walton,6700
fashion,poor,Aarong,900
books,poor,Nilkhet,800
gaming,poor,Sony,23300
accessories,poor,Apple,4000
phone,new,Google,71100
laptop,new,Apple,46000
camera,new,Panasonic,73350
furniture,new,Hatil,52850
bicycle,new,Phoenix,26150
appliance,new,LG,30550
fashion,new,Aarong,15000
books,new,Penguin,3750
gaming,new,Razer,47800
accessories,new,Samsung,2500
phone,excellent,OnePlus,80850
laptop,excellent,HP,65650
camera,excellent,Panasonic,23000
furniture,excellent,Otobi,8950
bicycle,excellent,Trek,15750
appliance,excellent,LG,3150
fashion,excellent,Generic,9250
books,excellent,Pearson,2850
gaming,excellent,Nintendo,48500
accessories,excellent,Baseus,9900
phone,good,Google,68700
laptop,good,Lenovo,106900
camera,good,Fujifilm,29650
furniture,good,Otobi,20650
bicycle,good,Duranta,34100
appliance,good,Samsung,57850
fashion,good,Generic,6700
books,good,Penguin,2350
gaming,good,Sony,13250
accessories,good,Generic,4300
phone,fair,Apple,36450
laptop,fair,Lenovo,32250
camera,fair,Canon,7450
furniture,fair,Otobi,12700
bicycle,fair,Trek,7150
appliance,fair,Singer,31000
fashion,fair,Aarong,5300
books,fair,OReilly,2850
gaming,fair,Razer,3200
accessories,fair,Samsung,7950
phone,poor,OnePlus,14500
laptop,poor,Acer,20300
camera,poor,Canon,10100
furniture,poor,Otobi,11000
bicycle,poor,Giant,3000
appliance,poor,LG,7250
fashion,poor,Yellow,3800
books,poor,OReilly,200
gaming,poor,Logitech,2250
accessories,poor,Baseus,2650
phone,new,Google,42450
laptop,new,Asus,116600
camera,new,Canon,138800
furniture,new,Local,53150
bicycle,new,Trek,41250
appliance,new,LG,26450
fashion,new,Sailor,15750
books,new,Pearson,6250
gaming,new,Logitech,42400
accessories,new,Samsung,15800
phone,excellent,Apple,30000
laptop,excellent,Dell,97600
camera,excellent,Nikon,74000
furniture,excellent,Hatil,5850
bicycle,excellent,Phoenix,21600
appliance,excellent,Whirlpool,4450
fashion,excellent,Aarong,1800
books,excellent,Pearson,2550
gaming,excellent,Nintendo,68050
accessories,excellent,Baseus,3050
phone,good,Xiaomi,55700
laptop,good,HP,96800
camera,good,Panasonic,60600
furniture,good,IKEA,16150
bicycle,good,Giant,17500
appliance,good,Samsung,23200
fashion,good,Generic,2100
books,good,Penguin,900
gaming,good,Logitech,12200
accessories,good,Samsung,4550
phone,fair,Samsung,44050
laptop,fair,HP,26850
camera,fair,Fujifilm,41100
furniture,fair,Otobi,11050
bicycle,fair,Trek,9900
appliance,fair,LG,15100
fashion,fair,Generic,7450
books,fair,Penguin,1950
gaming,fair,Logitech,22900
accessories,fair,Samsung,3600
phone,poor,Samsung,14300
laptop,poor,HP,22500
camera,poor,Panasonic,30950
furniture,poor,Otobi,6500
bicycle,poor,Hero,17600
appliance,poor,Whirlpool,22850
fashion,poor,Yellow,750
books,poor,OReilly,650
gaming,poor,Nintendo,3900
accessories,poor,Apple,1850
phone,new,Apple,56850
laptop,new,Asus,24550
camera,new,Canon,125700
furniture,new,IKEA,42400
bicycle,new,Giant,47750
appliance,new,LG,27750
fashion,new,Sailor,7900
books,new,Cambridge,4550
gaming,new,Nintendo,3350
accessories,new,Apple,16100
phone,excellent,Apple,62300
laptop,excellent,Acer,64850
camera,excellent,Nikon,58800
furniture,excellent,Regal,23150
bicycle,excellent,Giant,28400
