title,description,category,brand,condition,price,seller_account_age_days,seller_review_count,seller_rating_average,prior_flagged_listings,active_listing_count,duplicate_photo,urgent_language,off_platform_contact,prohibited_language,brand_mismatch,label,source
Duranta bicycle good near Dhanmondi,good Duranta bicycle available near Dhanmondi. Inspection welcome before purchase.,bicycle,Duranta,good,14250,711,25,4.4,0,2,0,0,0,0,0,clean,synthetic_showcase_generator
Walton appliance good near Banani,good Walton appliance available near Banani. Inspection welcome before purchase.,appliance,Walton,good,17300,234,12,4.2,0,3,0,0,0,0,0,clean,synthetic_showcase_generator
Sailor fashion good near Gulshan,good Sailor fashion available near Gulshan. Inspection welcome before purchase.,fashion,Sailor,good,2450,364,19,4.2,0,7,0,0,0,0,0,clean,synthetic_showcase_generator
OReilly books good near Mirpur,good OReilly books available near Mirpur. Inspection welcome before purchase.,books,OReilly,good,1150,387,25,4.7,1,3,0,0,0,0,0,clean,synthetic_showcase_generator
Microsoft gaming good near Mohammadpur,good Microsoft gaming available near Mohammadpur. Inspection welcome before purchase.,gaming,Microsoft,good,15800,116,25,4.9,0,2,0,0,0,0,0,clean,synthetic_showcase_generator
Baseus accessories good near Uttara,good Baseus accessories available near Uttara. Inspection welcome before purchase.,accessories,Baseus,good,3550,192,1,4.1,0,5,0,0,0,0,0,clean,synthetic_showcase_generator
Apple phone fair near Badda,fair Apple phone available near Badda. Inspection welcome before purchase.,phone,Apple,fair,21850,458,19,4.4,0,4,0,0,0,0,0,clean,synthetic_showcase_generator
Dell laptop fair near Wari,fair Dell laptop available near Wari. Inspection welcome before purchase.,laptop,Dell,fair,31050,282,20,4.0,1,1,0,0,0,0,0,clean,synthetic_showcase_generator
Canon camera fair near Dhanmondi,fair Canon camera available near Dhanmondi. Inspection welcome before purchase. Original receipt available.,camera,Canon,fair,23300,652,20,4.9,0,7,0,0,0,0,0,clean,synthetic_showcase_generator
Hatil furniture fair near Banani,fair Hatil furniture available near Banani. Inspection welcome before purchase. Original receipt available.,furniture,Hatil,fair,4450,486,22,4.8,1,6,0,0,0,0,0,clean,synthetic_showcase_generator
Trek bicycle fair near Gulshan,fair Trek bicycle available near Gulshan. Inspection welcome before purchase.,bicycle,Trek,fair,8500,784,34,4.2,0,1,0,0,0,0,0,clean,synthetic_showcase_generator
Samsung appliance fair near Mirpur,fair Samsung appliance available near Mirpur. Inspection welcome before purchase.,appliance,Samsung,fair,11200,52,4,4.1,1,3,0,0,0,0,0,clean,synthetic_showcase_generator
Generic fashion fair near Mohammadpur,fair Generic fashion available near Mohammadpur. Inspection welcome before purchase.,fashion,Generic,fair,1600,88,13,4.9,0,4,0,0,0,0,0,clean,synthetic_showcase_generator
Cambridge books fair near Uttara,fair Cambridge books available near Uttara. Inspection welcome before purchase.,books,Cambridge,fair,950,196,15,4.1,0,1,0,0,0,0,0,clean,synthetic_showcase_generator
Microsoft gaming fair near Badda,fair Microsoft gaming available near Badda. Inspection welcome before purchase.,gaming,Microsoft,fair,14200,615,12,4.9,0,6,0,0,0,0,0,clean,synthetic_showcase_generator
Anker accessories fair near Wari,fair Anker accessories available near Wari. Inspection welcome before purchase.,accessories,Anker,fair,3000,728,13,4.9,0,5,0,0,0,0,0,clean,synthetic_showcase_generator
Google phone poor near Dhanmondi,poor Google phone available near Dhanmondi. Inspection welcome before purchase.,phone,Google,poor,12700,396,24,4.9,0,5,0,0,0,0,0,clean,synthetic_showcase_generator
Apple laptop poor near Banani,poor Apple laptop available near Banani. Inspection welcome before purchase.,laptop,Apple,poor,16600,308,25,4.5,0,8,0,0,0,0,0,clean,synthetic_showcase_generator
Fujifilm camera poor near Gulshan,poor Fujifilm camera available near Gulshan. Inspection welcome before purchase. Original receipt available.,camera,Fujifilm,poor,14650,126,5,4.5,0,2,0,0,0,0,0,clean,synthetic_showcase_generator
Local furniture poor near Mirpur,poor Local furniture available near Mirpur. Inspection welcome before purchase.,furniture,Local,poor,3300,314,2,4.3,0,1,0,0,0,0,0,clean,synthetic_showcase_generator
Duranta bicycle poor near Mohammadpur,poor Duranta bicycle available near Mohammadpur. Inspection welcome before purchase.,bicycle,Duranta,poor,4600,560,19,4.3,0,7,0,0,0,0,0,clean,synthetic_showcase_generator
Singer appliance poor near Uttara,poor Singer appliance available near Uttara. Inspection welcome before purchase.,appliance,Singer,poor,5950,386,10,4.2,0,8,0,0,0,0,0,clean,synthetic_showcase_generator
Aarong fashion poor near Badda,poor Aarong fashion available near Badda. Inspection welcome before purchase.,fashion,Aarong,poor,1100,684,12,4.7,0,4,0,0,0,0,0,clean,synthetic_showcase_generator
Pearson books poor near Wari,poor Pearson books available near Wari. Inspection welcome before purchase. Original receipt available.,books,Pearson,poor,400,643,6,4.7,1,7,0,0,0,0,0,clean,synthetic_showcase_generator
Microsoft gaming poor near Dhanmondi,poor Microsoft gaming available near Dhanmondi. Inspection welcome before purchase.,gaming,Microsoft,poor,8150,229,6,4.4,0,4,0,0,0,0,0,clean,synthetic_showcase_generator
Anker accessories poor near Banani,poor Anker accessories available near Banani. Inspection welcome before purchase.,accessories,Anker,poor,1950,61,35,4.2,0,2,0,0,0,0,0,clean,synthetic_showcase_generator
Samsung phone new near Gulshan,new Samsung phone available near Gulshan. Inspection welcome before purchase.,phone,Samsung,new,49250,404,5,4.5,1,8,0,0,0,0,0,clean,synthetic_showcase_generator
Apple laptop new near Mirpur,new Apple laptop available near Mirpur. Inspection welcome before purchase.,laptop,Apple,new,75050,345,4,4.4,0,7,0,0,0,0,0,clean,synthetic_showcase_generator
Canon camera new near Mohammadpur,new Canon camera available near Mohammadpur. Inspection welcome before purchase.,camera,Canon,new,39550,577,20,4.8,0,5,0,0,0,0,0,clean,synthetic_showcase_generator
Local furniture new near Uttara,new Local furniture available near Uttara. Inspection welcome before purchase.,furniture,Local,new,13950,628,33,4.5,0,3,0,0,0,0,0,clean,synthetic_showcase_generator
Phoenix bicycle new near Badda,new Phoenix bicycle available near Badda. Inspection welcome before purchase. Original receipt available.,bicycle,Phoenix,new,18850,561,35,4.5,0,6,0,0,0,0,0,clean,synthetic_showcase_generator
Singer appliance new near Wari,new Singer appliance available near Wari. Inspection welcome before purchase.,appliance,Singer,new,26250,76,28,4.1,0,4,0,0,0,0,0,clean,synthetic_showcase_generator
Yellow fashion new near Dhanmondi,"inbox fast sale. outside app only, pay deposit first before inspection.",fashion,Yellow,new,1750,0,1,3.7,4,3,0,1,1,0,0,fraud,synthetic_showcase_generator
OReilly books new near Banani,"advance sale. WhatsApp only, pay deposit first before inspection.",books,OReilly,new,850,0,0,2.2,0,10,0,1,1,0,0,fraud,synthetic_showcase_generator
Sony gaming new near Gulshan,"advance sale. WhatsApp only, pay deposit first before inspection.",gaming,Sony,new,13350,0,0,0.5,2,4,0,1,1,0,0,fraud,synthetic_showcase_generator
Anker accessories new near Mirpur,"token money sale. WhatsApp only, pay deposit first before inspection.",accessories,Anker,new,2050,4,1,0.9,1,4,0,1,1,0,0,fraud,synthetic_showcase_generator
Google phone excellent near Mohammadpur,"no inspection sale. WhatsApp only, pay deposit first before inspection.",phone,Google,excellent,17850,2,1,0.5,4,4,0,1,1,0,0,fraud,synthetic_showcase_generator
Lenovo laptop excellent near Uttara,"urgent sale. outside app only, pay deposit first before inspection.",laptop,Lenovo,excellent,12400,6,1,1.8,0,12,0,1,1,0,0,fraud,synthetic_showcase_generator
Sony camera excellent near Badda,"bkash only sale. Telegram only, pay deposit first before inspection.",camera,Sony,excellent,8100,5,1,0.1,3,9,0,1,1,0,0,fraud,synthetic_showcase_generator
Hatil furniture excellent near Wari,"no inspection sale. outside app only, pay deposit first before inspection.",furniture,Hatil,excellent,4050,3,1,1.5,1,9,0,1,1,0,0,fraud,synthetic_showcase_generator
Phoenix bicycle excellent near Dhanmondi,"inbox fast sale. outside app only, pay deposit first before inspection.",bicycle,Phoenix,excellent,7050,6,1,2.3,1,8,0,1,1,0,0,fraud,synthetic_showcase_generator
Samsung appliance excellent near Banani,"bkash only sale. IMO only, pay deposit first before inspection.",appliance,Samsung,excellent,7150,1,0,3.5,0,4,0,1,1,0,0,fraud,synthetic_showcase_generator
Sailor fashion excellent near Gulshan,"inbox fast sale. outside app only, pay deposit first before inspection.",fashion,Sailor,excellent,1500,1,1,2.1,2,8,0,1,1,0,0,fraud,synthetic_showcase_generator
Nilkhet books excellent near Mirpur,"inbox fast sale. WhatsApp only, pay deposit first before inspection.",books,Nilkhet,excellent,600,3,1,2.5,3,9,0,1,1,0,0,fraud,synthetic_showcase_generator
Sony gaming excellent near Mohammadpur,"inbox fast sale. IMO only, pay deposit first before inspection.",gaming,Sony,excellent,7950,1,1,0.1,4,9,0,1,1,0,0,fraud,synthetic_showcase_generator
Baseus accessories excellent near Uttara,"bkash only sale. Telegram only, pay deposit first before inspection.",accessories,Baseus,excellent,2150,1,0,3.7,3,5,0,1,1,0,0,fraud,synthetic_showcase_generator
Xiaomi phone good near Badda,"urgent sale. direct call only, pay deposit first before inspection.",phone,Xiaomi,good,16450,2,0,3.7,3,8,0,1,1,0,0,fraud,synthetic_showcase_generator
Dell laptop good near Wari,"token money sale. outside app only, pay deposit first before inspection.",laptop,Dell,good,19550,2,0,2.6,3,7,0,1,1,0,0,fraud,synthetic_showcase_generator
Sony camera good near Dhanmondi,"inbox fast sale. IMO only, pay deposit first before inspection.",camera,Sony,good,13100,2,1,0.1,3,5,0,1,1,0,0,fraud,synthetic_showcase_generator
Regal furniture good near Banani,"no inspection sale. WhatsApp only, pay deposit first before inspection.",furniture,Regal,good,2450,3,0,2.1,0,9,0,1,1,0,0,fraud,synthetic_showcase_generator
Phoenix bicycle good near Gulshan,"urgent sale. IMO only, pay deposit first before inspection.",bicycle,Phoenix,good,4650,1,1,1.7,0,12,0,1,1,0,0,fraud,synthetic_showcase_generator
Walton appliance good near Mirpur,"advance sale. WhatsApp only, pay deposit first before inspection.",appliance,Walton,good,4600,0,0,2.1,4,5,0,1,1,0,0,fraud,synthetic_showcase_generator
Yellow fashion good near Mohammadpur,Same photo repost. advance pickup near Mohammadpur.,fashion,Yellow,good,600,5,0,1.0,1,11,1,1,0,0,0,duplicate,synthetic_showcase_generator
OReilly books good near Uttara,Same photo repost. advance pickup near Uttara.,books,OReilly,good,500,5,0,2.9,3,10,1,1,0,0,0,duplicate,synthetic_showcase_generator
Microsoft gaming good near Badda,Same photo repost. urgent pickup near Badda.,gaming,Microsoft,good,9150,0,0,2.0,0,9,1,1,0,0,0,duplicate,synthetic_showcase_generator
Anker accessories good near Wari,Same photo repost. bkash only pickup near Wari.,accessories,Anker,good,1600,5,0,0.5,3,11,1,1,0,0,0,duplicate,synthetic_showcase_generator
OnePlus phone fair near Dhanmondi,Same photo repost. token money pickup near Dhanmondi.,phone,OnePlus,fair,6650,1,1,3.2,4,11,1,1,0,0,0,duplicate,synthetic_showcase_generator
HP laptop fair near Banani,Same photo repost. urgent pickup near Banani.,laptop,HP,fair,16100,1,1,1.7,4,6,1,1,0,0,0,duplicate,synthetic_showcase_generator
Sony camera fair near Gulshan,Same photo repost. final price today pickup near Gulshan.,camera,Sony,fair,4450,5,0,3.5,1,7,1,1,0,0,0,duplicate,synthetic_showcase_generator
Regal furniture fair near Mirpur,Same photo repost. no inspection pickup near Mirpur.,furniture,Regal,fair,2250,3,1,2.6,0,3,1,1,0,0,0,duplicate,synthetic_showcase_generator
Phoenix bicycle fair near Mohammadpur,Same photo repost. token money pickup near Mohammadpur.,bicycle,Phoenix,fair,3150,6,0,2.9,1,9,1,1,0,0,0,duplicate,synthetic_showcase_generator
NID card service near Uttara,NID card available. WhatsApp for direct deal.,appliance,Walton,fair,1900,3,1,1.0,3,12,0,0,1,1,0,prohibited,synthetic_showcase_generator
NID card service near Badda,bank account available. direct call for direct deal.,fashion,Sailor,fair,4900,0,0,3.7,3,9,0,0,1,1,0,prohibited,synthetic_showcase_generator
bank account service near Wari,bank account available. WhatsApp for direct deal.,books,Pearson,fair,4000,6,0,3.0,0,8,0,0,1,1,0,prohibited,synthetic_showcase_generator
sim card service near Dhanmondi,sim card available. outside app for direct deal.,gaming,Nintendo,fair,6600,1,0,0.7,0,6,0,0,1,1,0,prohibited,synthetic_showcase_generator
sim card service near Banani,passport available. Telegram for direct deal.,accessories,Anker,fair,4500,2,0,1.6,2,11,0,0,1,1,0,prohibited,synthetic_showcase_generator
driving license service near Gulshan,driving license available. direct call for direct deal.,phone,Apple,poor,3700,4,1,3.7,0,10,0,0,1,1,0,prohibited,synthetic_showcase_generator
passport service near Mirpur,sim card available. Telegram for direct deal.,laptop,Dell,poor,6000,6,0,1.4,1,10,0,0,1,1,0,prohibited,synthetic_showcase_generator
Fujifilm Nikon mixed listing,Brand field and title do not match. bkash only.,camera,Fujifilm,poor,9750,5,1,2.1,1,10,0,0,0,0,1,spam,synthetic_showcase_generator
Local Apple mixed listing,Brand field and title do not match. final price today.,furniture,Local,poor,2850,4,1,0.6,4,8,0,0,0,0,1,spam,synthetic_showcase_generator
Trek Pearson mixed listing,Brand field and title do not match. inbox fast.,bicycle,Trek,poor,4250,2,0,2.4,0,10,0,0,0,0,1,spam,synthetic_showcase_generator
Samsung Nilkhet mixed listing,Brand field and title do not match. final price today.,appliance,Samsung,poor,3450,1,1,1.4,2,5,0,0,0,0,1,spam,synthetic_showcase_generator
Sailor Regal mixed listing,Brand field and title do not match. advance.,fashion,Sailor,poor,750,3,1,1.1,0,12,0,0,0,0,1,spam,synthetic_showcase_generator
Nilkhet Sailor mixed listing,Brand field and title do not match. final price today.,books,Nilkhet,poor,250,1,1,1.7,4,12,0,0,0,0,1,spam,synthetic_showcase_generator
Microsoft Generic mixed listing,Brand field and title do not match. urgent.,gaming,Microsoft,poor,8500,0,1,3.5,1,4,0,0,0,0,1,spam,synthetic_showcase_generator
Generic Nintendo mixed listing,Brand field and title do not match. bkash only.,accessories,Generic,poor,1900,4,0,3.4,4,8,0,0,0,0,1,spam,synthetic_showcase_generator
Xiaomi phone new near Mohammadpur,new Xiaomi phone available near Mohammadpur. Inspection welcome before purchase.,phone,Xiaomi,new,51900,542,12,4.9,1,5,0,0,0,0,0,clean,synthetic_showcase_generator
Apple laptop new near Uttara,new Apple laptop available near Uttara. Inspection welcome before purchase.,laptop,Apple,new,61900,679,5,4.1,0,3,0,0,0,0,0,clean,synthetic_showcase_generator
Nikon camera new near Badda,new Nikon camera available near Badda. Inspection welcome before purchase.,camera,Nikon,new,51950,411,21,4.3,0,4,0,0,0,0,0,clean,synthetic_showcase_generator
Otobi furniture new near Wari,new Otobi furniture available near Wari. Inspection welcome before purchase.,furniture,Otobi,new,11200,15,22,4.2,0,6,0,0,0,0,0,clean,synthetic_showcase_generator
Giant bicycle new near Dhanmondi,new Giant bicycle available near Dhanmondi. Inspection welcome before purchase.,bicycle,Giant,new,17500,364,31,4.5,0,1,0,0,0,0,0,clean,synthetic_showcase_generator
LG appliance new near Banani,new LG appliance available near Banani. Inspection welcome before purchase.,appliance,LG,new,21250,810,13,4.6,0,7,0,0,0,0,0,clean,synthetic_showcase_generator
Yellow fashion new near Gulshan,new Yellow fashion available near Gulshan. Inspection welcome before purchase.,fashion,Yellow,new,3800,96,35,4.3,0,8,0,0,0,0,0,clean,synthetic_showcase_generator
Cambridge books new near Mirpur,new Cambridge books available near Mirpur. Inspection welcome before purchase.,books,Cambridge,new,1900,842,28,4.4,1,2,0,0,0,0,0,clean,synthetic_showcase_generator
Sony gaming new near Mohammadpur,new Sony gaming available near Mohammadpur. Inspection welcome before purchase.,gaming,Sony,new,26750,251,17,4.4,0,4,0,0,0,0,0,clean,synthetic_showcase_generator
Generic accessories new near Uttara,new Generic accessories available near Uttara. Inspection welcome before purchase.,accessories,Generic,new,6050,567,11,4.7,0,2,0,0,0,0,0,clean,synthetic_showcase_generator
Google phone excellent near Badda,excellent Google phone available near Badda. Inspection welcome before purchase.,phone,Google,excellent,50800,628,5,4.8,0,8,0,0,0,0,0,clean,synthetic_showcase_generator
Asus laptop excellent near Wari,excellent Asus laptop available near Wari. Inspection welcome before purchase.,laptop,Asus,excellent,60200,870,30,4.5,0,4,0,0,0,0,0,clean,synthetic_showcase_generator
Canon camera excellent near Dhanmondi,excellent Canon camera available near Dhanmondi. Inspection welcome before purchase.,camera,Canon,excellent,33600,708,22,4.0,0,5,0,0,0,0,0,clean,synthetic_showcase_generator
Otobi furniture excellent near Banani,excellent Otobi furniture available near Banani. Inspection welcome before purchase.,furniture,Otobi,excellent,11050,717,25,4.8,0,3,0,0,0,0,0,clean,synthetic_showcase_generator
Duranta bicycle excellent near Gulshan,excellent Duranta bicycle available near Gulshan. Inspection welcome before purchase.,bicycle,Duranta,excellent,20500,397,17,4.7,0,6,0,0,0,0,0,clean,synthetic_showcase_generator
LG appliance excellent near Mirpur,excellent LG appliance available near Mirpur. Inspection welcome before purchase. Original receipt available.,appliance,LG,excellent,15600,146,19,4.3,0,3,0,0,0,0,0,clean,synthetic_showcase_generator
Yellow fashion excellent near Mohammadpur,excellent Yellow fashion available near Mohammadpur. Inspection welcome before purchase.,fashion,Yellow,excellent,3200,232,14,4.3,0,7,0,0,0,0,0,clean,synthetic_showcase_generator
Pearson books excellent near Uttara,excellent Pearson books available near Uttara. Inspection welcome before purchase.,books,Pearson,excellent,1600,846,28,4.9,0,7,0,0,0,0,0,clean,synthetic_showcase_generator
Nintendo gaming excellent near Badda,excellent Nintendo gaming available near Badda. Inspection welcome before purchase. Original receipt available.,gaming,Nintendo,excellent,21750,372,33,4.4,0,6,0,0,0,0,0,clean,synthetic_showcase_generator
Anker accessories excellent near Wari,excellent Anker accessories available near Wari. Inspection welcome before purchase.,accessories,Anker,excellent,5800,223,34,4.7,1,5,0,0,0,0,0,clean,synthetic_showcase_generator
Samsung phone good near Dhanmondi,good Samsung phone available near Dhanmondi. Inspection welcome before purchase.,phone,Samsung,good,29850,834,13,4.7,0,2,0,0,0,0,0,clean,synthetic_showcase_generator
Apple laptop good near Banani,good Apple laptop available near Banani. Inspection welcome before purchase. Original receipt available.,laptop,Apple,good,40300,367,6,4.3,1,8,0,0,0,0,0,clean,synthetic_showcase_generator
Sony camera good near Gulshan,good Sony camera available near Gulshan. Inspection welcome before purchase.,camera,Sony,good,31950,419,22,4.8,0,1,0,0,0,0,0,clean,synthetic_showcase_generator
Otobi furniture good near Mirpur,good Otobi furniture available near Mirpur. Inspection welcome before purchase. Original receipt available.,furniture,Otobi,good,9650,854,8,4.4,0,1,0,0,0,0,0,clean,synthetic_showcase_generator
Giant bicycle good near Mohammadpur,good Giant bicycle available near Mohammadpur. Inspection welcome before purchase.,bicycle,Giant,good,11900,59,15,4.8,1,6,0,0,0,0,0,clean,synthetic_showcase_generator
Singer appliance good near Uttara,good Singer appliance available near Uttara. Inspection welcome before purchase.,appliance,Singer,good,16850,257,26,4.1,0,7,0,0,0,0,0,clean,synthetic_showcase_generator
Aarong fashion good near Badda,good Aarong fashion available near Badda. Inspection welcome before purchase.,fashion,Aarong,good,3150,502,3,4.3,0,1,0,0,0,0,0,clean,synthetic_showcase_generator
Nilkhet books good near Wari,good Nilkhet books available near Wari. Inspection welcome before purchase.,books,Nilkhet,good,950,617,15,4.9,0,4,0,0,0,0,0,clean,synthetic_showcase_generator
Nintendo gaming good near Dhanmondi,good Nintendo gaming available near Dhanmondi. Inspection welcome before purchase.,gaming,Nintendo,good,16100,642,28,4.7,0,5,0,0,0,0,0,clean,synthetic_showcase_generator
Baseus accessories good near Banani,good Baseus accessories available near Banani. Inspection welcome before purchase.,accessories,Baseus,good,4150,83,11,4.5,1,3,0,0,0,0,0,clean,synthetic_showcase_generator
Xiaomi phone fair near Gulshan,fair Xiaomi phone available near Gulshan. Inspection welcome before purchase.,phone,Xiaomi,fair,26400,42,19,4.1,0,3,0,0,0,0,0,clean,synthetic_showcase_generator
Dell laptop fair near Mirpur,fair Dell laptop available near Mirpur. Inspection welcome before purchase.,laptop,Dell,fair,32050,630,25,4.8,0,5,0,0,0,0,0,clean,synthetic_showcase_generator
Sony camera fair near Mohammadpur,fair Sony camera available near Mohammadpur. Inspection welcome before purchase.,camera,Sony,fair,18050,764,5,4.5,1,4,0,0,0,0,0,clean,synthetic_showcase_generator
Regal furniture fair near Uttara,fair Regal furniture available near Uttara. Inspection welcome before purchase.,furniture,Regal,fair,4350,165,7,4.9,0,6,0,0,0,0,0,clean,synthetic_showcase_generator
Phoenix bicycle fair near Badda,fair Phoenix bicycle available near Badda. Inspection welcome before purchase.,bicycle,Phoenix,fair,8450,361,8,4.8,0,4,0,0,0,0,0,clean,synthetic_showcase_generator
Singer appliance fair near Wari,fair Singer appliance available near Wari. Inspection welcome before purchase.,appliance,Singer,fair,8300,821,25,4.7,1,5,0,0,0,0,0,clean,synthetic_showcase_generator
Aarong fashion fair near Dhanmondi,fair Aarong fashion available near Dhanmondi. Inspection welcome before purchase.,fashion,Aarong,fair,1500,290,26,4.8,0,6,0,0,0,0,0,clean,synthetic_showcase_generator
OReilly books fair near Banani,fair OReilly books available near Banani. Inspection welcome before purchase.,books,OReilly,fair,650,222,28,4.9,0,3,0,0,0,0,0,clean,synthetic_showcase_generator
Microsoft gaming fair near Gulshan,fair Microsoft gaming available near Gulshan. Inspection welcome before purchase.,gaming,Microsoft,fair,16050,317,2,5.0,0,8,0,0,0,0,0,clean,synthetic_showcase_generator
Baseus accessories fair near Mirpur,fair Baseus accessories available near Mirpur. Inspection welcome before purchase.,accessories,Baseus,fair,2750,471,4,4.8,1,1,0,0,0,0,0,clean,synthetic_showcase_generator
OnePlus phone poor near Mohammadpur,poor OnePlus phone available near Mohammadpur. Inspection welcome before purchase.,phone,OnePlus,poor,13450,160,10,4.4,1,2,0,0,0,0,0,clean,synthetic_showcase_generator
HP laptop poor near Uttara,poor HP laptop available near Uttara. Inspection welcome before purchase. Original receipt available.,laptop,HP,poor,19300,777,1,4.1,0,6,0,0,0,0,0,clean,synthetic_showcase_generator
Nikon camera poor near Badda,poor Nikon camera available near Badda. Inspection welcome before purchase.,camera,Nikon,poor,11450,612,4,4.8,0,2,0,0,0,0,0,clean,synthetic_showcase_generator
Otobi furniture poor near Wari,poor Otobi furniture available near Wari. Inspection welcome before purchase.,furniture,Otobi,poor,3150,188,19,4.0,1,4,0,0,0,0,0,clean,synthetic_showcase_generator
Trek bicycle poor near Dhanmondi,poor Trek bicycle available near Dhanmondi. Inspection welcome before purchase.,bicycle,Trek,poor,4250,681,10,4.4,0,2,0,0,0,0,0,clean,synthetic_showcase_generator
Singer appliance poor near Banani,poor Singer appliance available near Banani. Inspection welcome before purchase.,appliance,Singer,poor,6850,107,23,4.8,0,8,0,0,0,0,0,clean,synthetic_showcase_generator
Aarong fashion poor near Gulshan,poor Aarong fashion available near Gulshan. Inspection welcome before purchase.,fashion,Aarong,poor,950,851,15,4.2,0,6,0,0,0,0,0,clean,synthetic_showcase_generator
Pearson books poor near Mirpur,poor Pearson books available near Mirpur. Inspection welcome before purchase. Original receipt available.,books,Pearson,poor,500,587,21,4.4,1,5,0,0,0,0,0,clean,synthetic_showcase_generator
